corporation	stock
8002dfde-106a-b196-07bc-7dd07caf26e9	51f016b9-ab10-66a8-06c1-61970a558317
93ad1884-182d-7f24-46b9-1850af0ef467	fc77b12b-f1a9-c739-afcd-4868ba1b3b0f
8d42abb8-79af-4cc0-08ed-20cb8c8160b1	3b93cebe-8105-d15c-df0d-2e6ab838dd29
9b44f109-eb77-e29a-57d9-3f4513706957	4012d10f-1213-1bcf-0336-efbbda090454
97dd23d6-78b1-45bb-1267-94b90821b0de	63ea96cc-c032-dfe3-a7c0-ecba57ba0bd4
db585533-c707-7668-ba4a-370037ad4a01	66d48672-f3f0-d565-3dba-d9de222cc830
b2572e26-acfb-d612-b778-ad699c7f7b65	a69a21e2-b4c3-14d6-3ea3-c7c9454fdf9f
ed580126-aba8-f9cd-4588-75dc3fb8329d	d5157de0-5316-6e6c-1234-10078883805d
1bf01712-c842-79c0-4b3c-4ff4a01cd639	094e4c3a-545b-db86-d640-a9e4144f5fed
36e64656-8d4d-94e5-286d-de9b29062a88	89f753a8-fd8c-fa5c-5289-3fde290fea33
a3d44e0e-0353-13bd-6517-5d2bd9b32836	bf1d1ff4-3948-be85-08aa-c2c95a3c6b2c
a441afd9-a893-89b0-be8f-09f2412b577d	73bdf7f6-7d36-f2be-0c54-f7669f16e2e5
ef63ae80-37fe-6d2a-d1b1-286d459575b7	48cdd566-1368-854b-07d5-ad43852f09a5
3ceb5d09-8b1c-de64-c6ba-1db81d1a4a2a	3df41be1-05ad-7b0e-879b-3b3941d12fb3
f9662ff5-81ae-8f8a-fa00-71b298e5e8fc	ffd23e4c-e008-6c90-c4d3-b1db168e855f
d56306e5-b34c-f161-dc32-258b50d1e749	c8414dbc-e1ca-56cf-9bab-7cae7815a7d7
c3faf14d-2f43-9f28-6997-68d788197347	cb14c628-b4f0-8fad-a8ac-20b0602041b2
d304a1c9-0a3c-ac58-91d7-578c7e8c31bb	07283c70-9cff-7e05-152c-edd898686e5a
5bcd61da-71c8-bbe3-9f80-5a47de7dcb05	026b4d4a-8a63-c6dc-af55-b4b476e50f68
3a819698-6e46-80e1-cc26-c4894b17faef	0fab3ac5-5fbb-946c-023b-c879cf913729
bc5d99d8-6de3-876f-bda8-29c267fb1056	5f490192-c027-97aa-3ce3-8784966d4b8e
8dba4fad-8dd6-52ac-48ab-52f1a10ae080	941f8f68-5b9c-36d9-9e5d-40bdeb5de173
5d347502-a54c-0cfa-466f-e8d29cd726b1	4ebae728-6042-9677-1990-701b17d755c8
f5313a4c-3efc-fe32-d304-129515bd62dc	b3e81a97-837a-70e0-b000-602d6cb37517
b9ae944e-b84d-76a9-a8b9-256276e4f30e	bfdc510e-75d8-db72-7a2b-5c90c7bcd405
99ab61a0-791e-71f2-6063-65f1469e6c33	f14c0174-a631-b539-e8d7-9cc17af14c8b
0e3779a8-d7c7-bf87-17fe-8301d00d8f13	49ed27ab-5b18-7e70-a9a0-feb0eaeb3934
1cc635e1-d86e-6513-392e-8ba010ecee2d	eb034b0a-0a26-cd96-7267-a3fac0c6ca7d
ede62f15-672c-8195-5315-83d118f4727a	4081f397-4174-9709-7046-9697613f2541
45ac555d-57bd-c09a-1bc9-48a6d6ddd972	bb5d112f-b403-9ab6-9e10-36c14894d991
ed64888b-2178-c2f5-dbc1-52fffa6ebcbe	8d964c16-dd7b-2929-e296-57a2901347c7
9926207d-53df-ccdc-e056-bd0477edfb52	88d4895a-53c3-868e-3aa6-ca3e34d8be2d
feeaa6d7-6de1-9b2e-556c-59f13df149e6	9e76dd90-7012-8126-cc3b-629368547eb6
c5623234-1716-3564-f417-3cf0e1d8b025	d0e460ca-d9c5-a031-a844-c44301fd93d6
a7e9b33d-4c1f-a7d8-68a7-454c9a123cfc	e7effac3-9de3-e862-d15d-26f6e5a872c6
ca2ff446-f05d-cc74-7614-dd98a68e07f0	6a5dbeb1-0cf4-9cbd-108a-a51dacce2d9a
2afa6aef-def5-6239-6614-e4468969ddbf	4ed63d89-b51c-99d9-3ee6-16cb002497aa
34223e98-f29f-17fc-fa0e-90c2f268e667	1d8fc9ce-d330-e31d-2235-6eb8f587406c
f99102cd-7141-6dec-97f0-79e5d31f63f3	2f14adae-0546-3b76-b98c-f2edc9eb0acf
2256a263-6fb6-fa1e-978a-0599ad6b6a1b	0af5670d-3600-c783-35e6-0fbde28c9c49
47b00f55-06e5-e1ef-c78f-8e27775333cb	9a4e4d50-4bea-8493-a3f5-b451cac21415
7500b8b4-b287-2ddb-6904-a92dc8c3beff	7e85afa7-bb66-98e1-ce32-5103ad9cbc19
37e2d5e3-ae6c-306a-0b04-a0977dc58400	65cbb620-f0dc-7b78-e575-c6a8b6a9abd5
d2d0e256-f3c6-cdef-c1dc-0946c5b7d250	9f30eb23-62fa-c49a-fb24-9626b272f77f
6cdd6b86-b5cd-1d0b-5d5a-b98266f08ece	8eb75394-89e1-412c-c671-c333bbbcb99e
5c34b3c0-9317-a28a-43e9-0b98ab1d0dfd	d57b8068-a8eb-edd8-9483-7f075c73e26e
3a23f9fa-f9e2-4a5b-c739-dba7211c2f39	4633cadf-88d8-c688-7d21-0dd9e136ea38
910123ba-6559-3c8b-a669-77dbc5ae8969	9f645b35-1b6c-d44c-c0c4-c1426e5c2bfc
d7601354-10ed-d2fd-14bd-9aac1afddaa3	4866699c-cbf5-8b4b-a3cb-9f00f5be8657
84f83e41-77a9-81cc-c12f-81534dd5bb20	758c29a7-ba8f-9384-9441-c4c37aeb5b1c
10032c2a-1a33-d725-47f1-1f5fc9c23d3e	580d1069-c0a7-7392-102f-f580e7c9e8ae
e40f7844-eef8-5827-648e-c786283e2a80	8b284046-792e-0f33-678d-ffeca6ef18a6
fbf90fc1-1f40-446c-0b60-cece7f708feb	4a654cc2-2560-90b1-2cb4-9d5f8600bcfd
5278b482-fe26-13b3-a26c-50abc2aaffab	1f1c7cbd-0953-1fd5-adeb-5045851bd69e
ba782d57-5a08-b657-5334-2e84a5d8a84d	21151d74-a3ee-9d0e-283a-5ca0b2b627d7
6dc55fb7-de0a-3f87-28ce-bd23ddeccb1e	8a47950c-1d4e-7a9b-ffae-02773c84b146
d514c887-a4d6-4d0f-83d2-2d7f71ea8865	5dc8c5c4-30a2-e93a-b43e-0649f900a320
1b9cd598-e290-f001-08b4-17835bdd132e	2f329d20-f95d-2bd6-23c9-3adc628d3e73
f353e808-a69a-583f-165c-63f987fb7ea3	eecd6ce5-590b-0b0a-464d-b6ef6a376b8b
da16a7d4-a715-1da1-21c7-ef3ad4a9938a	71fb0d99-33a1-7487-d9ce-4b1febbf6d48
84ced2bc-60ef-913d-0191-bbd49da342d3	8415e8e2-0db8-ab4f-1c19-43170d6f4971
87cfbffb-6bc7-24e1-607e-7642defabdec	38d6c6b8-6825-0256-794e-5f2f8459e091
2b09ac35-5ea9-227d-f647-5c5ed05c8916	619280bd-ac37-e102-1d40-a04c91e39590
356c1619-026a-4fd8-1484-32c52dfa176e	8a33c707-ed3f-1a8f-c050-d3d755aeba4c
bde51a65-7343-1469-3bd2-6386397119ab	d4ab6567-5fd8-6a5c-177f-172d0a3f6642
34f982bd-868c-5a54-58bd-85153152258f	35b2b685-1d8b-f37d-6c21-73aeb2ca4d3f
3154e3c7-8315-d78b-a530-c8f4c00c6c4a	671e3935-add7-d333-4754-9f708efc1ff4
045351b8-2adb-7f5b-0839-eae62a4ae028	e5677910-3f8f-6113-04cc-a7280717911e
d54115e8-76ae-a474-c9e5-30012be1c2a2	4433d071-193c-2d1c-0d54-5b35f36e5d4a
e7b3acda-e7f1-cd2f-68b8-5225662d4a0f	a825b27f-8302-7ea4-3097-77887a0a562c
29b7c18e-6c76-7abd-8e4d-a25b6db32ec7	c1f96912-4350-2a4d-da68-77e9a29f0bf1
f3f79941-16b3-2c52-5c55-9e553b7794f8	dfdab757-b298-83a4-d7d7-ef36d14313b7
1967e927-d401-9af8-2bd5-52fdaae887bc	34594743-5068-651c-d80e-2b61cba7cbc4
be5c7829-e3b7-3f38-0630-efa4c82be6df	8b2a1a72-2d13-bbe5-d42b-d6c8f5f8f4e5
683be34b-e10f-b1ad-5ae6-dcdce41c7043	91f802e8-91ad-9aea-3873-c89bbb245adf
e24816d5-db54-befc-3b35-a0cdc36295ab	096db26d-1329-792d-8ce4-bc6c2a3ec975
7489b5b2-1af5-3deb-dbf4-f6b444f7a7f8	a275b46c-2b7e-ba3f-b047-d541b3b01925
b86429a6-f068-7124-cf8c-794fc37bb34c	03c5513f-3a44-460a-1d8f-e9843e0a7874
90ed89d4-6ed0-6d24-bcbe-9f74a0d4af6e	114972b1-1e1d-5083-ee4b-9fa6de6f0e3c
b8555e47-f8e9-a105-72a2-c6f9ce1e445a	e0a55d9f-de48-94d6-1c4c-345622230132
f8c23a71-5a05-3894-8929-d36767d8a8a1	4d866864-d054-fd3c-2c9a-792a4d1fdcd7
5c0c936c-00ec-fe53-4204-9cd4f7f9f2ed	5d8e45e7-0c45-b03e-924a-5972e2446fe9
eda6ec90-693f-1a64-1b2c-04fb8e9bffaa	db30f0c4-1493-fd69-5c4a-4f5d708dd3eb
32ec59ca-44ee-dd48-3426-f16f25a7456a	89a9d86b-a0ef-2a9a-1d3e-a5487073a0bc
878e2ee9-c71b-26f9-8517-4d47f969e157	ee3f850f-0130-38fc-b5b0-3f7164d8ab9a
c5230481-9475-7673-84cd-b54ed19c2c33	136b4f27-ca42-0db5-1466-a5d82d5ec2c3
f7b382a2-0517-70ac-c7ae-6c03554c7bdf	45689a34-028a-5fbe-ba15-e3169021c462
b409da50-842c-c670-8b31-7455d8e3f435	61ee5774-08cb-4ab1-e6a6-ae64363cf6a6
1367a320-57fb-4f5f-81d5-d263d31c6fc5	c6104ff8-8c67-c703-8036-cd3de814c174
c9a0a74c-cf44-8cf5-ac1e-71764fc2f7b2	347f711d-ed15-9adf-53d3-94acf7b1ad48
56bcef57-84ed-b9aa-2523-7697fb89300b	1f2a9f89-a52b-ad6c-bfb9-6ceaf5673f17
d1cf12cd-6502-8ff6-9e97-b122a5d4898a	800329f9-47fd-de18-ac22-5902a82e51f5
033a0272-b491-24af-6dea-20f727046445	bd0703ca-a10a-53df-9a6f-6bc0b30a2abc
